date,time,weight[g],accX,accY,accZ,ActionId
10/14/2022,6:14 PM,-297.3,0.4,-0.5,0.8,5
10/14/2022,6:14 PM,-297.3,0.3,-0.6,0.7,5
10/14/2022,6:14 PM,-297.2,0.3,-0.7,0.7,5
10/14/2022,6:14 PM,-297.4,0.3,-0.8,0.6,5
10/14/2022,6:14 PM,-297.3,0.4,-0.8,0.5,5
10/14/2022,6:14 PM,-297.3,0.3,-0.9,0.4,5
10/14/2022,6:14 PM,-297.4,0.3,-0.8,0.5,5
10/14/2022,6:14 PM,-297.3,0.4,-0.9,0.4,5
10/14/2022,6:14 PM,-297.4,0.5,-1,0.3,5
10/14/2022,6:14 PM,-297.4,0.3,-0.8,0.5,5
10/14/2022,6:14 PM,-297.3,0.1,-0.5,0.9,5
10/14/2022,6:14 PM,-297.3,0,-0.5,1,5
10/14/2022,6:14 PM,-297.4,0.2,-0.3,0.9,5
10/14/2022,6:14 PM,-297.4,0.1,-0.1,0.9,5
10/14/2022,6:14 PM,-297.4,0.1,0,0.9,5
10/14/2022,6:14 PM,-297.4,0,0,1,5
10/14/2022,6:14 PM,-297.4,-0.1,-0.1,1,5
10/14/2022,6:14 PM,-297.3,-0.1,-0.1,1.1,5
10/14/2022,6:14 PM,-297.3,-0.1,-0.1,1.1,5
10/14/2022,6:14 PM,-297.4,-0.1,0,1,5
10/14/2022,6:14 PM,-297.3,-0.1,0,1,5
10/14/2022,6:14 PM,-297.4,-0.1,0,1,5
10/14/2022,6:14 PM,-297.3,-0.1,0,0.9,5
10/14/2022,6:14 PM,-297.4,-0.1,-0.1,0.9,5
10/14/2022,6:14 PM,-297.2,0,0,1,5
10/14/2022,6:14 PM,-297.3,-0.1,-0.1,0.9,5
10/14/2022,6:14 PM,-297.3,-0.1,0,1,5
10/14/2022,6:14 PM,-297.4,-0.1,0,1,5
10/14/2022,6:14 PM,-297.4,-0.1,-0.1,1,5
10/14/2022,6:14 PM,-297.4,-0.1,0,1,5
10/14/2022,6:14 PM,-297.3,-0.1,0,1,5
10/14/2022,6:14 PM,-297.3,-0.1,0,1,5
10/14/2022,6:14 PM,-297.3,-0.2,-0.1,0.9,5
10/14/2022,6:14 PM,-297.3,-0.2,-0.1,0.7,5
10/14/2022,6:14 PM,-297.4,0.1,-0.1,0.7,5
10/14/2022,6:14 PM,-297.3,0,-0.1,0.8,5
10/14/2022,6:14 PM,-297.4,-0.1,0,1.1,5
10/14/2022,6:14 PM,-297.3,0,-0.1,1,5
10/14/2022,6:14 PM,-297.3,0,-0.2,1.1,5
10/14/2022,6:14 PM,-297.4,-0.1,-0.2,1.1,5
10/14/2022,6:14 PM,-297.4,-0.1,-0.2,1.1,5
10/14/2022,6:14 PM,-297.3,0,0,1.1,5
10/14/2022,6:14 PM,-297.3,0,-0.2,1,5
10/14/2022,6:14 PM,-297.4,-0.1,-0.2,1,5
10/14/2022,6:14 PM,-297.3,-0.1,-0.1,1,5
10/14/2022,6:14 PM,-297.3,0,-0.1,1,5
10/14/2022,6:14 PM,-297.2,-0.1,-0.1,0.9,5
10/14/2022,6:14 PM,-297.2,-0.1,0,1,5
10/14/2022,6:14 PM,-297.2,0,0.1,1,5
10/14/2022,6:14 PM,-137.5,-0.2,0,1,5
10/14/2022,6:14 PM,-10.7,-0.1,0.1,1,5
10/14/2022,6:14 PM,2.7,0,0,1,5
10/14/2022,6:14 PM,0.3,-0.1,0,1,5
10/14/2022,6:14 PM,-1,0,0,1,5
10/14/2022,6:14 PM,-0.8,-0.1,0,1,5
10/14/2022,6:14 PM,-0.4,0,0,1,5
10/14/2022,6:14 PM,-0.7,-0.1,0,1,5
10/14/2022,6:14 PM,-0.7,-0.1,0,1,5
